NodeID,Name,Race,Gender
8844,Kevin Jordan,,
655,Jay Roach,White,Male
8850,Steve James,Black,Male
660,Brian Levant,White,Male
8855,Alfonso Cuar--n,,
665,Peyton Reed,White,Male
670,Patrick Tatopoulos,,
674,Joel Schumacher,White,Male
8868,Harry Beaumont,White,Male
679,Burr Steers,,
8873,John Stephenson,,
684,Luke Dye,,
8878,Arie Posin,,
689,Michael Ritchie,White,Male
8883,Jonathan Teplitzky,,
694,George Lucas,White,Male
8888,Sajid Khan,,
698,Karen Moncrieff,,
703,Dave Green,,
708,Adrian Lyne,,Male
713,Garry Marshall,White,Male
8907,Wes Ball,,
717,Michael Schultz,,
8910,Hyung-rae Shim,,
722,Blaz Zavrsnik,,
8915,Amanda Gusack,,
8917,Antonia Bird,,
727,Jon Favreau,White,Male
732,Edward Norton,White,Male
8925,Je-kyu Kang,,
736,Brian Henson,,
8932,Marco Kreuzpaintner,,
741,Ava DuVernay,,
745,John Maclean,,
8938,Antonio Simoncini,,
750,Oliver Hirschbiegel,White,Male
8943,Robert D. Webb,,
754,Mike Leigh,White,Male
759,Courtney Solomon,,
8955,David Palmer,White,Transgender
764,Salvador Carrasco,,
8960,Vijay Chandar,,
769,Alan Poul,,
774,Lisa Azuelos,,
8968,Ron Underwood,White,Male
779,Kevin Lima,White,Male
8972,Roland Suso Richter,,
784,Paul Hunter,,
789,John Ford,White,Male
8985,Kevin Carraway,,
794,Mira Nair,Asian/Indian,Female
8987,Michael Mann,White,Male
799,Paul W.S. Anderson,White,Male
8994,Ray Lawrence,,
804,Peter Billingsley,White,Male
11057,David E. Talbert,,
9002,John Murlowski,,
812,Niall Johnson,,
816,Gus Van Sant,White,Male
821,Andrew Haigh,,
826,Joe Wright,,
9019,Robert Hall,White,Male
831,David Bowers,,
9024,Christopher McQuarrie,,
836,Lars von Trier,White,Male
841,Zach Braff,White,Male
9034,Rupert Sanders,White,Male
845,Chris Columbus,White,Male
850,David Zucker,White,Male
9699,Harmony Korine,White,Male
854,Gore Verbinski,White,Male
9047,Asghar Farhadi,Middle Eastern,Male
859,Paul Tibbitt,,
9052,Jos-- Luis Valenzuela,,
864,Rick Bieber,,
9058,Jean-Fran--ois Richet,,
869,Dick Richards,White,Male
9065,S.S. Rajamouli,,
874,Jeff Nichols,,
879,Alex Gibney,,
882,Gavin Hood,,
887,Luc Besson,White,Male
9081,Rich Moore,,
891,Kathryn Bigelow,White,Female
9706,Christian Duguay,White,Male
896,Penny Marshall,White,Female
9090,Scott Walker,White,Male
8342,Daniel Myrick,White,Male
904,Preston A. Whitmore II,,
9097,Harmage Singh Kalirai,,
908,Anne Fletcher,,
913,Ernie Barbarash,,
917,Andrea Arnold,,
9111,Gary Hardwick,,
922,Frank Marshall,White,Male
9711,Anthony Vallone,,
927,John Boorman,White,Male
9121,Rob Hedden,,
8347,Neill Dela Llana,,
935,Walt Becker,White,Male
9130,Aaron Schneider,,
939,Danny Perez,,
9134,Ramaa Mosley,,
944,Zack Snyder,White,Male
949,Doug Liman,White,Male
9142,Jon Avnet,White,Male
954,Stephen Frears,White,Male
958,Tim Blake Nelson,White,Male
8352,Scandar Copti,,
963,Fred Zinnemann,White,Male
9157,Craig Zobel,,
968,Guy Hamilton,White,Male
973,Paul Michael Glaser,White,Male
978,Justin Paul Miller,,
982,Michael Apted,White,Male
990,Donald Petrie,White,Male
8357,Michael Winner,White,Male
9184,Barry W. Blaustein,,
995,Pat Holden,,
12454,Wayne Beach,,
9190,Richard Raymond,,
1000,Christopher Scott Cherot,,
1004,Jay Duplass,,
9197,Stefan C. Schaefer,,
1008,Woody Allen,White,Male
9203,Catherine Gund,,
1013,Todd Haynes,White,Male
1018,Rohit Jagessar,,
1023,Larry Blamire,,
9217,Livingston Oden,,
12459,Steven Shainberg,,
9221,Andy Garcia,Hispanic,Male
1031,John Cromwell,White,Male
1036,John Carpenter,White,Male
1041,Max Mayer,,
9234,Steve Pink,,
9237,Agust--n D--az Yanes,,
9240,Brian Caunter,,
1050,Deryck Broom,,
1053,Howard Zieff,White,Male
9249,Anthony Bell,,
1061,George A. Romero,,
9257,John Landis,White,Male
1069,Jennifer Wynne Farmer,,
9262,Andrei Tarkovsky,White,Male
1074,Kenneth Branagh,White,Male
9270,Matt Dillon,White,Male
1079,Frank Oz,White,Male
1084,Cassandra Nicolaou,,
9279,Al Silliman Jr.,,
1088,Rod Lurie,White,Male
1092,Richard Benjamin,White,Male
13537,Sadyk Sher-Niyaz,,
11105,Jeremy Sims,,
1096,Mark Herman,,
1100,Oliver Stone,White,Male
9295,Ciar--n Foy,,
1104,Joe Dante,White,Male
1108,John Lafia,,
9301,Robert B. Weide,,
1113,Michael Moore,White,Male
1117,Craig Bolotin,,
1121,Kimberly Peirce,White,Female
1125,Jason Connery,White,Male
1130,Elia Kazan,White,Male
8900,David Atkins,,
1134,Mike Nichols,White,Male
9328,Eric Leighton,,
9330,Brian Klugman,,
