"Source","Target","Weight","Type"
"John Ratzenberger","Toy Story 2","1","Undirected"
"John Ratzenberger","Brave","1","Undirected"
"John Ratzenberger","Up","1","Undirected"
"John Ratzenberger","Toy Story 3","1","Undirected"
"John Ratzenberger","Monsters, Inc.","1","Undirected"
"Jim Varney","Atlantis: The Lost Empire","1","Undirected"
"John Lasseter","Toy Story 2","1","Undirected"
"John Lasseter","A Bug's Life","1","Undirected"
"John Lasseter","Cars","1","Undirected"
"John Lasseter","Cars 2","1","Undirected"
"Pontypool","Stephen McHattie","1","Undirected"
"Pontypool","Georgina Reilly","1","Undirected"
"Pontypool","Boyd Banks","1","Undirected"
"Pontypool","Bruce McDonald","1","Undirected"
"Stephen McHattie","Watchmen","1","Undirected"
"Stephen McHattie","Secretary","1","Undirected"
"Stephen McHattie","All Hat","1","Undirected"
"Stephen McHattie","The Rocket: The Legend of Rocket Richard","1","Undirected"
"Stephen McHattie","Wolves","1","Undirected"
"Stephen McHattie","Eddie: The Sleepwalking Cannibal","1","Undirected"
"Georgina Reilly","Eddie: The Sleepwalking Cannibal","1","Undirected"
"Boyd Banks","Bang Bang Baby","1","Undirected"
"Enter Nowhere","Katherine Waterston","1","Undirected"
"Enter Nowhere","Christopher Denham","1","Undirected"
"Enter Nowhere","Jack Heller","1","Undirected"
"Enter Nowhere","Shaun Sipos","1","Undirected"
"Shaun Sipos","Texas Chainsaw 3D","1","Undirected"
"Katherine Waterston","Inherent Vice","1","Undirected"
"Christopher Denham","Sound of My Voice","1","Undirected"
"Grand Theft Parsons","Scott Adsit","1","Undirected"
"Grand Theft Parsons","Jim Cody Williams","1","Undirected"
"Grand Theft Parsons","David Caffrey","1","Undirected"
"Scott Adsit","Without a Paddle","1","Undirected"
"Dressed to Kill","David Margulies","1","Undirected"
"Dressed to Kill","Nancy Allen","1","Undirected"
"David Margulies","9-- Weeks","1","Undirected"
"David Margulies","Ace Ventura: Pet Detective","1","Undirected"
"Nancy Allen","Blow Out","1","Undirected"
"X-Men: The Last Stand","Daniel Cudmore","1","Undirected"
"Cheaper by the Dozen","Shawn Levy","1","Undirected"
"Cheaper by the Dozen","Tom Welling","1","Undirected"
"Cheaper by the Dozen","Alyson Stoner","1","Undirected"
"Cheaper by the Dozen","Bonnie Hunt","1","Undirected"
"Tom Welling","Cheaper by the Dozen 2","1","Undirected"
"Alyson Stoner","Step Up 3D","1","Undirected"
"Alyson Stoner","Cheaper by the Dozen 2","1","Undirected"
"Alyson Stoner","Step Up","1","Undirected"
"Bonnie Hunt","Return to Me","1","Undirected"
"Bonnie Hunt","Stolen Summer","1","Undirected"
"Bonnie Hunt","Jerry Maguire","1","Undirected"
"Shawn Levy","The Internship","1","Undirected"
"Shawn Levy","Date Night","1","Undirected"
"Shawn Levy","Night at the Museum: Battle of the Smithsonian","1","Undirected"
"Shawn Levy","Just Married","1","Undirected"
"Shawn Levy","The Pink Panther","1","Undirected"
"Shawn Levy","Real Steel","1","Undirected"
"Shawn Levy","Night at the Museum: Secret of the Tomb","1","Undirected"
"Shawn Levy","This Is Where I Leave You","1","Undirected"
"Shawn Levy","Night at the Museum","1","Undirected"
"Shawn Levy","Big Fat Liar","1","Undirected"
"Traffic","Michael O'Neill","1","Undirected"
"Traffic","Jacob Vargas","1","Undirected"
"Traffic","James Lew","1","Undirected"
"Michael O'Neill","Seabiscuit","1","Undirected"
"Michael O'Neill","Transformers","1","Undirected"
"Michael O'Neill","Dreamcatcher","1","Undirected"
"Michael O'Neill","Dancer, Texas Pop. 81","1","Undirected"
"Michael O'Neill","Sea of Love","1","Undirected"
"Jacob Vargas","The Wendell Baker Story","1","Undirected"
"Jacob Vargas","The Hills Have Eyes II","1","Undirected"
"Jacob Vargas","The 33","1","Undirected"
"Jacob Vargas","Heaven Is for Real","1","Undirected"
"Jacob Vargas","Selena","1","Undirected"
"Jacob Vargas","Airborne","1","Undirected"
"Jacob Vargas","Red Sky","1","Undirected"
"Jacob Vargas","Sleep Dealer","1","Undirected"
"The Green Hornet","Chad L. Coleman","1","Undirected"
"The Green Hornet","Michel Gondry","1","Undirected"
"Michel Gondry","Eternal Sunshine of the Spotless Mind","1","Undirected"
"Michel Gondry","Dave Chappelle's Block Party","1","Undirected"
"Michel Gondry","Be Kind Rewind","1","Undirected"
"Seabiscuit","Gary Ross","1","Undirected"
"Gary Ross","The Hunger Games","1","Undirected"
"Gary Ross","Free State of Jones","1","Undirected"
"The Godfather","Robert Duvall","1","Undirected"
"Robert Duvall","Four Christmases","1","Undirected"
"Robert Duvall","The Godfather: Part II","1","Undirected"
"Robert Duvall","A Civil Action","1","Undirected"
"Robert Duvall","The Pursuit of D.B. Cooper","1","Undirected"
"Robert Duvall","Days of Thunder","1","Undirected"
"Robert Duvall","Sling Blade","1","Undirected"
"Robert Duvall","The 6th Day","1","Undirected"
"Robert Duvall","Apocalypse Now","1","Undirected"
"Robert Duvall","Deep Impact","1","Undirected"
"Robert Duvall","Open Range","1","Undirected"
"Robert Duvall","The Apostle","1","Undirected"
"Robert Duvall","The Judge","1","Undirected"
"Robert Duvall","Get Low","1","Undirected"
"Robert Duvall","Kicking & Screaming","1","Undirected"
"Robert Duvall","Gone in Sixty Seconds","1","Undirected"
"Robert Duvall","To Kill a Mockingbird","1","Undirected"
"Robert Duvall","Jack Reacher","1","Undirected"
"Robert Duvall","Phenomenon","1","Undirected"
"Robert Duvall","Lucky You","1","Undirected"
"Robert Duvall","Network","1","Undirected"
"Robert Duvall","Secondhand Lions","1","Undirected"
"Robert Duvall","The Road","1","Undirected"
"Robert Duvall","We Own the Night","1","Undirected"
"Robert Duvall","The Scarlet Letter","1","Undirected"
"Dutch Kills","Joseph Mazzella","1","Undirected"
"Dutch Kills","Tjasa Ferme","1","Undirected"
"Dutch Kills","Mikaal Bates","1","Undirected"
"Dutch Kills","Damon Owlia","1","Undirected"
"Agent Cody Banks","Frankie Muniz","1","Undirected"
"Agent Cody Banks","Chris Gauthier","1","Undirected"
"Agent Cody Banks","Harald Zwart","1","Undirected"
"Frankie Muniz","Agent Cody Banks 2: Destination London","1","Undirected"
"Frankie Muniz","Racing Stripes","1","Undirected"
"Frankie Muniz","Stay Alive","1","Undirected"
"Frankie Muniz","My Dog Skip","1","Undirected"
"Frankie Muniz","Deuces Wild","1","Undirected"
"Frankie Muniz","Big Fat Liar","1","Undirected"
"Chris Gauthier","Beyond the Black Rainbow","1","Undirected"
"Harald Zwart","The Mortal Instruments: City of Bones","1","Undirected"
"Conspiracy Theory","Alex McArthur","1","Undirected"
"Conspiracy Theory","Michael Potts","1","Undirected"
"Legend of the Guardians: The Owls of Ga'Hoole","Richard Roxburgh","1","Undirected"
"Legend of the Guardians: The Owls of Ga'Hoole","Anthony LaPaglia","1","Undirected"
"Richard Roxburgh","Sanctum","1","Undirected"
"Richard Roxburgh","Mission: Impossible II","1","Undirected"
"Richard Roxburgh","Stealth","1","Undirected"
"Richard Roxburgh","Moulin Rouge!","1","Undirected"
"Richard Roxburgh","Oscar and Lucinda","1","Undirected"
"Anthony LaPaglia","The Salton Sea","1","Undirected"
"Anthony LaPaglia","The House of Mirth","1","Undirected"
"Anthony LaPaglia","The Client","1","Undirected"
"Banshee Chapter","Monique Candelaria","1","Undirected"
"Banshee Chapter","Katia Winter","1","Undirected"
"Banshee Chapter","Michael McMillian","1","Undirected"
"Banshee Chapter","Blair Erickson","1","Undirected"
"Katia Winter","Sleepy Hollow","1","Undirected"
"Ishtar","Carol Kane","1","Undirected"
"Ishtar","Warren Beatty","1","Undirected"
"Ishtar","Isabelle Adjani","1","Undirected"
"Ishtar","Elaine May","1","Undirected"
"Carol Kane","Confessions of a Teenage Drama Queen","1","Undirected"
"Carol Kane","The Princess Bride","1","Undirected"
"Carol Kane","The Pallbearer","1","Undirected"
"Carol Kane","Trees Lounge","1","Undirected"
"Carol Kane","Annie Hall","1","Undirected"
"Warren Beatty","Reds","1","Undirected"
"Warren Beatty","Bulworth","1","Undirected"
"Warren Beatty","Dick Tracy","1","Undirected"
"Warren Beatty","Town & Country","1","Undirected"
"Isabelle Adjani","Subway","1","Undirected"
"Isabelle Adjani","Bon voyage","1","Undirected"
"The Prince","Brian A Miller","1","Undirected"
"The Prince","50 Cent","1","Undirected"
"The Prince","Jessica Lowndes","1","Undirected"
"50 Cent","Get Rich or Die Tryin'","1","Undirected"
"50 Cent","Escape Plan","1","Undirected"
"50 Cent","Righteous Kill","1","Undirected"
"50 Cent","Southpaw","1","Undirected"
"Jessica Lowndes","Eden","1","Undirected"
"Jessica Lowndes","The Haunting of Molly Hartley","1","Undirected"
"The Big Lebowski","Joel Coen","1","Undirected"
"The Big Lebowski","Philip Seymour Hoffman","1","Undirected"
"Philip Seymour Hoffman","The Hunger Games: Mockingjay - Part 1","1","Undirected"
"Philip Seymour Hoffman","Owning Mahowny","1","Undirected"
"Philip Seymour Hoffman","The Hunger Games: Mockingjay - Part 2","1","Undirected"
"Philip Seymour Hoffman","Red Dragon","1","Undirected"
"Philip Seymour Hoffman","Patch Adams","1","Undirected"
"Philip Seymour Hoffman","Pirate Radio","1","Undirected"
"Philip Seymour Hoffman","The Ides of March","1","Undirected"
"Philip Seymour Hoffman","Charlie Wilson's War","1","Undirected"
"Philip Seymour Hoffman","Doubt","1","Undirected"
"Philip Seymour Hoffman","25th Hour","1","Undirected"
"Philip Seymour Hoffman","Next Stop Wonderland","1","Undirected"
"Philip Seymour Hoffman","Moneyball","1","Undirected"
"Philip Seymour Hoffman","Capote","1","Undirected"
"Philip Seymour Hoffman","Almost Famous","1","Undirected"
"Philip Seymour Hoffman","Along Came Polly","1","Undirected"
"Philip Seymour Hoffman","Mission: Impossible III","1","Undirected"
"Philip Seymour Hoffman","A Most Wanted Man","1","Undirected"
"Philip Seymour Hoffman","Flawless","1","Undirected"
"Philip Seymour Hoffman","Cold Mountain","1","Undirected"
"Philip Seymour Hoffman","Happiness","1","Undirected"
"Philip Seymour Hoffman","Twister","1","Undirected"
"Philip Seymour Hoffman","Synecdoche, New York","1","Undirected"
"Philip Seymour Hoffman","The Savages","1","Undirected"
"Philip Seymour Hoffman","The Talented Mr. Ripley","1","Undirected"
"Joel Coen","Intolerable Cruelty","1","Undirected"
"Joel Coen","O Brother, Where Art Thou?","1","Undirected"
"Joel Coen","The Hudsucker Proxy","1","Undirected"
"Crimson Tide","Viggo Mortensen","1","Undirected"
"Crimson Tide","Ricky Schroder","1","Undirected"
"Crimson Tide","Tony Scott","1","Undirected"
"Viggo Mortensen","Witness","1","Undirected"
"Viggo Mortensen","Good","1","Undirected"
"Viggo Mortensen","G.I. Jane","1","Undirected"
"Viggo Mortensen","The Prophecy","1","Undirected"
"Viggo Mortensen","Albino Alligator","1","Undirected"
"Viggo Mortensen","Prison","1","Undirected"
"Viggo Mortensen","A Walk on the Moon","1","Undirected"
"Viggo Mortensen","The Road","1","Undirected"
"Viggo Mortensen","Far from Men","1","Undirected"
"Viggo Mortensen","A History of Violence","1","Undirected"
"Viggo Mortensen","Captain Alatriste: The Spanish Musketeer","1","Undirected"
"Viggo Mortensen","Hidalgo","1","Undirected"
"Viggo Mortensen","On the Road","1","Undirected"
"Viggo Mortensen","Appaloosa","1","Undirected"
"Viggo Mortensen","Daylight","1","Undirected"
"Viggo Mortensen","A Dangerous Method","1","Undirected"
"Viggo Mortensen","28 Days","1","Undirected"
"Viggo Mortensen","Eastern Promises","1","Undirected"
"Ricky Schroder","Poolhall Junkies","1","Undirected"
"Ricky Schroder","Blood Done Sign My Name","1","Undirected"
"Ricky Schroder","Locker 13","1","Undirected"
"Ricky Schroder","There Goes My Baby","1","Undirected"
"Tony Scott","Enemy of the State","1","Undirected"
"Tony Scott","True Romance","1","Undirected"
"Tony Scott","Beverly Hills Cop II","1","Undirected"
"Tony Scott","The Taking of Pelham 1 2 3","1","Undirected"
"Tony Scott","Spy Game","1","Undirected"
"Tony Scott","The Fan","1","Undirected"
"Tony Scott","Man on Fire","1","Undirected"
"Tony Scott","Domino","1","Undirected"
"Tony Scott","Top Gun","1","Undirected"
"Tony Scott","Unstoppable","1","Undirected"
"Tony Scott","Days of Thunder","1","Undirected"
"Aliens","Carrie Henn","1","Undirected"
"Aliens","Jenette Goldstein","1","Undirected"
"Aliens","James Cameron","1","Undirected"
"Jenette Goldstein","Living Out Loud","1","Undirected"
"Jenette Goldstein","Terminator 2: Judgment Day","1","Undirected"
"James Cameron","Avatar","1","Undirected"
"James Cameron","The Abyss","1","Undirected"
"James Cameron","Titanic","1","Undirected"
"James Cameron","Terminator 2: Judgment Day","1","Undirected"
"James Cameron","True Lies","1","Undirected"
"James Cameron","The Terminator","1","Undirected"
"Jeff, Who Lives at Home","Evan Ross","1","Undirected"
"Jeff, Who Lives at Home","Rae Dawn Chong","1","Undirected"
"Evan Ross","Mooz-Lum","1","Undirected"
"Rae Dawn Chong","Quest for Fire","1","Undirected"
"Rae Dawn Chong","Commando","1","Undirected"
"Rae Dawn Chong","The Color Purple","1","Undirected"
"Before Midnight","Seamus Davey-Fitzpatrick","1","Undirected"
"Before Midnight","Ariane Labed","1","Undirected"
"Before Midnight","Athina Rachel Tsangari","1","Undirected"
"The Other Side of Heaven","Nathaniel Lees","1","Undirected"
"The Other Side of Heaven","Miriama Smith","1","Undirected"
"The Other Side of Heaven","Mitch Davis","1","Undirected"
"Mitch Davis","Christmas Eve","1","Undirected"
"Ghost","Phil Leeds","1","Undirected"
"Ghost","Jerry Zucker","1","Undirected"
"Jerry Zucker","Rat Race","1","Undirected"
"Jerry Zucker","First Knight","1","Undirected"
"I Spy","Phill Lewis","1","Undirected"
"I Spy","Betty Thomas","1","Undirected"
"Betty Thomas","Doctor Dolittle","1","Undirected"
"Betty Thomas","28 Days","1","Undirected"
"Betty Thomas","Alvin and the Chipmunks: The Squeakquel","1","Undirected"
"A Thousand Words","Greg Collins","1","Undirected"
"A Thousand Words","John Gatins","1","Undirected"
"A Thousand Words","Lou Saliba","1","Undirected"
"John Gatins","Dreamer: Inspired by a True Story","1","Undirected"
"Greg Collins","Bottle Shock","1","Undirected"
"Halloween","P.J. Soles","1","Undirected"
"Halloween","Donald Pleasence","1","Undirected"
"Donald Pleasence","The Princess and the Cobbler","1","Undirected"
"Donald Pleasence","Halloween 4: The Return of Michael Myers","1","Undirected"
"Donald Pleasence","You Only Live Twice","1","Undirected"
"Donald Pleasence","Halloween: The Curse of Michael Myers","1","Undirected"
"Donald Pleasence","Escape from New York","1","Undirected"
"Donald Pleasence","The Great Escape","1","Undirected"
"Donald Pleasence","Halloween 5","1","Undirected"
"P.J. Soles","The Tooth Fairy","1","Undirected"
"Love the Coopers","Jessie Nelson","1","Undirected"
"Love the Coopers","Alex Borstein","1","Undirected"
"Love the Coopers","Timoth--e Chalamet","1","Undirected"
"Alex Borstein","The Lizzie McGuire Movie","1","Undirected"
"Alex Borstein","Bad Santa","1","Undirected"
"Alex Borstein","Catwoman","1","Undirected"
"Alex Borstein","Good Night, and Good Luck.","1","Undirected"
"Jessie Nelson","I Am Sam","1","Undirected"
"Hidden Away","--lex Angulo","1","Undirected"
"Hidden Away","Germ--n Alcarazu","1","Undirected"
"Hidden Away","Joseba Ugalde","1","Undirected"
"Hidden Away","Mikel Rueda","1","Undirected"
"The Haunted Mansion","Marsha Thomason","1","Undirected"
"The Haunted Mansion","Marc John Jefferies","1","Undirected"
"Marsha Thomason","Black Knight","1","Undirected"
"Marsha Thomason","My Baby's Daddy","1","Undirected"
"Marc John Jefferies","Get Rich or Die Tryin'","1","Undirected"
"Marc John Jefferies","Nerve","1","Undirected"
"Cape Fear","Robert Mitchum","1","Undirected"
"Robert Mitchum","Scrooged","1","Undirected"
"The English Patient","Anthony Minghella","1","Undirected"
"Anthony Minghella","Cold Mountain","1","Undirected"
"Anthony Minghella","The Talented Mr. Ripley","1","Undirected"
"Diner","Steve Guttenberg","1","Undirected"
"Diner","Daniel Stern","1","Undirected"
"Diner","Ellen Barkin","1","Undirected"
"Steve Guttenberg","Can't Stop the Music","1","Undirected"
"Steve Guttenberg","The Boys from Brazil","1","Undirected"
"Steve Guttenberg","Home for the Holidays","1","Undirected"
"Steve Guttenberg","Police Academy","1","Undirected"
"Steve Guttenberg","3 Men and a Baby","1","Undirected"
"Daniel Stern","Whip It","1","Undirected"
"Daniel Stern","Very Bad Things","1","Undirected"
"Daniel Stern","The Next Three Days","1","Undirected"
"Daniel Stern","C.H.U.D.","1","Undirected"
"Ellen Barkin","Animal Kingdom","1","Undirected"
"Ellen Barkin","Drop Dead Gorgeous","1","Undirected"
"Ellen Barkin","Someone Like You...","1","Undirected"
"Ellen Barkin","Fear and Loathing in Las Vegas","1","Undirected"
"Ellen Barkin","Sea of Love","1","Undirected"
"Ellen Barkin","The Fan","1","Undirected"
"Mindhunters","Eion Bailey","1","Undirected"
"Mindhunters","Renny Harlin","1","Undirected"
"Eion Bailey","The Young Unknowns","1","Undirected"
"Renny Harlin","12 Rounds","1","Undirected"
"Renny Harlin","The Covenant","1","Undirected"
"Renny Harlin","The Legend of Hercules","1","Undirected"
"Renny Harlin","Prison","1","Undirected"
"Renny Harlin","5 Days of War","1","Undirected"
"Renny Harlin","Cliffhanger","1","Undirected"
"Renny Harlin","The Adventures of Ford Fairlane","1","Undirected"
"Renny Harlin","Cutthroat Island","1","Undirected"
"Renny Harlin","Exorcist: The Beginning","1","Undirected"
"Renny Harlin","Deep Blue Sea","1","Undirected"
"Renny Harlin","A Nightmare on Elm Street 4: The Dream Master","1","Undirected"
"Renny Harlin","The Long Kiss Goodnight","1","Undirected"
"Renny Harlin","Die Hard 2","1","Undirected"
"Renny Harlin","Driven","1","Undirected"
"Trollhunter","Otto Jespersen","1","Undirected"
"Trollhunter","Johanna M--rck","1","Undirected"
"Trollhunter","Glenn Erland Tosterud","1","Undirected"
"Trollhunter","Andr-- --vredal","1","Undirected"
"Modern Problems","Brian Doyle-Murray","1","Undirected"
"Modern Problems","Dabney Coleman","1","Undirected"
"Modern Problems","Ken Shapiro","1","Undirected"
"Brian Doyle-Murray","Daddy Day Camp","1","Undirected"
"Brian Doyle-Murray","Multiplicity","1","Undirected"
"Brian Doyle-Murray","Caddyshack","1","Undirected"
"Brian Doyle-Murray","Bedazzled","1","Undirected"
"Dabney Coleman","Recess: School's Out","1","Undirected"
"Driving Miss Daisy","Jessica Tandy","1","Undirected"
"Driving Miss Daisy","Patti LuPone","1","Undirected"
"Driving Miss Daisy","Bruce Beresford","1","Undirected"
"Jessica Tandy","The Valley of Decision","1","Undirected"
"Patti LuPone","Just Looking","1","Undirected"
"Bruce Beresford","Mr. Church","1","Undirected"
"Bruce Beresford","Mao's Last Dancer","1","Undirected"
"Bruce Beresford","Double Jeopardy","1","Undirected"
"The Big Bounce","Andrew Wilson","1","Undirected"
"The Big Bounce","Willie Nelson","1","Undirected"
"The Big Bounce","George Armitage","1","Undirected"
"Andrew Wilson","The Wendell Baker Story","1","Undirected"
"Andrew Wilson","Bottle Rocket","1","Undirected"
"George Armitage","Grosse Pointe Blank","1","Undirected"
"The Last Samurai","Chad Lindberg","1","Undirected"
"The Last Samurai","Edward Zwick","1","Undirected"
"Chad Lindberg","I Spit on Your Grave","1","Undirected"
"Chad Lindberg","Alex Cross","1","Undirected"
"Edward Zwick","Blood Diamond","1","Undirected"
"Edward Zwick","Glory","1","Undirected"
"Edward Zwick","The Siege","1","Undirected"
"Edward Zwick","Courage Under Fire","1","Undirected"
"Edward Zwick","Love & Other Drugs","1","Undirected"
"Edward Zwick","Legends of the Fall","1","Undirected"
"Love and Other Catastrophes","Frances O'Connor","1","Undirected"
"Love and Other Catastrophes","Matt Day","1","Undirected"
"Love and Other Catastrophes","Emma-Kate Croghan","1","Undirected"
"Frances O'Connor","Bedazzled","1","Undirected"
"Frances O'Connor","The Missing","1","Undirected"
"Frances O'Connor","The Conjuring 2","1","Undirected"
"Talk Radio","Michael Wincott","1","Undirected"
"Talk Radio","Zach Grenier","1","Undirected"
"Talk Radio","Bill Johnson","1","Undirected"
"Michael Wincott","The Count of Monte Cristo","1","Undirected"
"Michael Wincott","Romeo Is Bleeding","1","Undirected"
"Michael Wincott","The Doors","1","Undirected"
"Michael Wincott","Treasure Planet","1","Undirected"
"Michael Wincott","Robin Hood: Prince of Thieves","1","Undirected"
"Michael Wincott","Basquiat","1","Undirected"
"Michael Wincott","Forsaken","1","Undirected"
"Michael Wincott","Alien: Resurrection","1","Undirected"
"Michael Wincott","The Crow","1","Undirected"
"Zach Grenier","BrainDead","1","Undirected"
"Zach Grenier","Maximum Risk","1","Undirected"
"Bill Johnson","The Texas Chainsaw Massacre 2","1","Undirected"
"The Scarlet Letter","Gary Oldman","1","Undirected"
"The Scarlet Letter","Roland Joff--","1","Undirected"
"Gary Oldman","Air Force One","1","Undirected"
"Gary Oldman","The Magic Sword: Quest for Camelot","1","Undirected"
"Gary Oldman","A Christmas Carol","1","Undirected"
"Gary Oldman","Dawn of the Planet of the Apes","1","Undirected"
"Gary Oldman","Red Riding Hood","1","Undirected"
"Gary Oldman","Bram Stoker's Dracula","1","Undirected"
"Gary Oldman","Tinker Tailor Soldier Spy","1","Undirected"
"Gary Oldman","True Romance","1","Undirected"
"Gary Oldman","Criminal","1","Undirected"
"Gary Oldman","The Unborn","1","Undirected"
"Gary Oldman","Romeo Is Bleeding","1","Undirected"
"Gary Oldman","Kung Fu Panda 2","1","Undirected"
"Gary Oldman","Basquiat","1","Undirected"
"Gary Oldman","Harry Potter and the Prisoner of Azkaban","1","Undirected"
"Gary Oldman","The Contender","1","Undirected"
"Gary Oldman","RoboCop","1","Undirected"
"Gary Oldman","Lost in Space","1","Undirected"
"Gary Oldman","The Fifth Element","1","Undirected"
"Gary Oldman","The Book of Eli","1","Undirected"
"Gary Oldman","Planet 51","1","Undirected"
"Roland Joff--","There Be Dragons","1","Undirected"
"Roland Joff--","The Lovers","1","Undirected"
"The Happening","Zooey Deschanel","1","Undirected"
"The Happening","Kristen Connolly","1","Undirected"
"The Happening","M. Night Shyamalan","1","Undirected"
"Zooey Deschanel","The Hitchhiker's Guide to the Galaxy","1","Undirected"
"Zooey Deschanel","Abandon","1","Undirected"
"Zooey Deschanel","Winter Passing","1","Undirected"
"Zooey Deschanel","Failure to Launch","1","Undirected"
"Zooey Deschanel","500 Days of Summer","1","Undirected"
"Zooey Deschanel","Almost Famous","1","Undirected"
"Zooey Deschanel","Your Highness","1","Undirected"
"Zooey Deschanel","Mumford","1","Undirected"
"Zooey Deschanel","Eulogy","1","Undirected"
"Zooey Deschanel","Our Idiot Brother","1","Undirected"
"Zooey Deschanel","The New Guy","1","Undirected"
"Zooey Deschanel","Yes Man","1","Undirected"
"Zooey Deschanel","The Good Girl","1","Undirected"
"Zooey Deschanel","Elf","1","Undirected"
"Zooey Deschanel","Big Trouble","1","Undirected"
"Zooey Deschanel","Bridge to Terabithia","1","Undirected"
"Zooey Deschanel","All the Real Girls","1","Undirected"
"Zooey Deschanel","Surf's Up","1","Undirected"
"Kristen Connolly","The Cabin in the Woods","1","Undirected"
"M. Night Shyamalan","The Last Airbender","1","Undirected"
"M. Night Shyamalan","Signs","1","Undirected"
"M. Night Shyamalan","After Earth","1","Undirected"
"M. Night Shyamalan","The Visit","1","Undirected"
"M. Night Shyamalan","The Village","1","Undirected"
"M. Night Shyamalan","Unbreakable","1","Undirected"
"M. Night Shyamalan","The Sixth Sense","1","Undirected"
"M. Night Shyamalan","Lady in the Water","1","Undirected"
"Sisters in Law","Beatrice Ntuba","1","Undirected"
"Sisters in Law","Florence Ayisi","1","Undirected"
"Sisters in Law","Vera Ngassa","1","Undirected"
"The Dead Undead","Johnny Pacar","1","Undirected"
"The Dead Undead","Vernon Wells","1","Undirected"
"The Dead Undead","Matthew R. Anderson","1","Undirected"
"Johnny Pacar","Fort McCoy","1","Undirected"
"Vernon Wells","Mad Max 2: The Road Warrior","1","Undirected"
"Vernon Wells","Commando","1","Undirected"
"Dead Man on Campus","Poppy Montgomery","1","Undirected"
"Dead Man on Campus","Alan Cohn","1","Undirected"
"Dead Man on Campus","Linda Cardellini","1","Undirected"
"Linda Cardellini","Daddy's Home","1","Undirected"
"Linda Cardellini","Grandma's Boy","1","Undirected"
"Linda Cardellini","Super","1","Undirected"
"Linda Cardellini","Scooby-Doo","1","Undirected"
"Linda Cardellini","Legally Blonde","1","Undirected"
"Linda Cardellini","Scooby-Doo 2: Monsters Unleashed","1","Undirected"
"Poppy Montgomery","Unforgettable","1","Undirected"
"The Oogieloves in the Big Balloon Adventure","Garrett Clayton","1","Undirected"
"The Oogieloves in the Big Balloon Adventure","Toni Braxton","1","Undirected"
"The Oogieloves in the Big Balloon Adventure","Matthew Diamond","1","Undirected"
"Butterfly Girl","Stacie Evans","1","Undirected"
"Butterfly Girl","Emily Gorell","1","Undirected"
"Butterfly Girl","Cary Bell","1","Undirected"
"Butterfly Girl","Abigail Evans","1","Undirected"
"The Life Aquatic with Steve Zissou","Anjelica Huston","1","Undirected"
"The Life Aquatic with Steve Zissou","Matthew Gray Gubler","1","Undirected"
"Anjelica Huston","Buffalo '66","1","Undirected"
"Anjelica Huston","Choke","1","Undirected"
"Anjelica Huston","The Postman Always Rings Twice","1","Undirected"
"Anjelica Huston","Blood Work","1","Undirected"
"Anjelica Huston","The Perez Family","1","Undirected"
"Anjelica Huston","The Ice Pirates","1","Undirected"
"Anjelica Huston","The Addams Family","1","Undirected"
"Anjelica Huston","Daddy Day Care","1","Undirected"
"Anjelica Huston","The Royal Tenenbaums","1","Undirected"
"Anjelica Huston","Ever After: A Cinderella Story","1","Undirected"
"Matthew Gray Gubler","Alvin and the Chipmunks","1","Undirected"
"Earth","Gulshan Grover","1","Undirected"
"Earth","Eric Peterson","1","Undirected"
"Earth","Nandita Das","1","Undirected"
"Finding Forrester","F. Murray Abraham","1","Undirected"
"Finding Forrester","Rob Brown","1","Undirected"
"F. Murray Abraham","Last Action Hero","1","Undirected"
"F. Murray Abraham","Thir13en Ghosts","1","Undirected"
"F. Murray Abraham","Muppets from Space","1","Undirected"
"F. Murray Abraham","Scarface","1","Undirected"
"F. Murray Abraham","The Bridge of San Luis Rey","1","Undirected"
"F. Murray Abraham","The Grand Budapest Hotel","1","Undirected"
"F. Murray Abraham","Amadeus","1","Undirected"
"Batman Returns","Michael Gough","1","Undirected"
"Batman Returns","Andrew Bryniarski","1","Undirected"
"Michael Gough","Out of Africa","1","Undirected"
"Michael Gough","Batman Forever","1","Undirected"
"Michael Gough","Batman","1","Undirected"
"Michael Gough","Batman & Robin","1","Undirected"
"Andrew Bryniarski","Rollerball","1","Undirected"
"Twisted","Grey Damon","1","Undirected"
"Twisted","Brittany Curran","1","Undirected"
"Twisted","Aaron Hill","1","Undirected"
"Brittany Curran","Exeter","1","Undirected"
"Harvard Man","James Toback","1","Undirected"
"James Toback","Two Girls and a Guy","1","Undirected"
"Dolphin Tale 2","Harry Connick Jr.","1","Undirected"
"Dolphin Tale 2","Charles Martin Smith","1","Undirected"
"Dolphin Tale 2","Taylor Blackwell","1","Undirected"
"Harry Connick Jr.","New in Town","1","Undirected"
"Harry Connick Jr.","Hope Floats","1","Undirected"
"Harry Connick Jr.","Dolphin Tale","1","Undirected"
"Harry Connick Jr.","Basic","1","Undirected"
"Harry Connick Jr.","Copycat","1","Undirected"
"Harry Connick Jr.","The Iron Giant","1","Undirected"
"Harry Connick Jr.","P.S. I Love You","1","Undirected"
"Charles Martin Smith","Dolphin Tale","1","Undirected"
"Charles Martin Smith","The Untouchables","1","Undirected"
"Charles Martin Smith","Air Bud","1","Undirected"
"Albino Alligator","Joe Mantegna","1","Undirected"
"Albino Alligator","Faye Dunaway","1","Undirected"
"Albino Alligator","Kevin Spacey","1","Undirected"
